code,code/_text,code/_title,name,longitude,latitude,elevation
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CVE,CVE,,CALAVERAS,-121.818,37.492,775
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CYC,CYC,,COYOTE RES-STA CLARA,-121.549,37.118,755
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=CYL,CYL,,CHERRY LAKE NR HETCH HETCHY (USGS),-119.913,37.976,4715
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DAV,DAV,,LAKE DAVIS (DWR),-120.467,39.883,5768
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DLV,DLV,,DEL VALLE,-121.745,37.614,703
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DMV,DMV,,DIAMOND VALLEY,-117.066,33.67,1756
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DNL,DNL,,DONNER LAKE (STORAGE),-120.233,39.324,5938
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DNN,DNN,,DONNER LAKE (DWR),-120.25,39.333,5945
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DNP,DNP,,DON PEDRO RESERVOIR,-120.421,37.702,830
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DON,DON,,DONNELLS,-119.96,38.329,4835
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DRE,DRE,,DWINNELL RESERVOIR NEAR EDGEWOOD,-122.37455,41.54089,2805
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=DWN,DWN,,DWINNELL,-122.376,41.541,2792
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ECO,ECO,,ECHO LAKE,-120.037,38.831,7420
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=EDN,EDN,,STUMPY MEADOWS RESERVOIR(MARK EDSON DAM),-120.603,38.903,4272
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ELC,ELC,,EL CAPITAN DAM,-116.808,32.882,600
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ENB,ENB,,ENGLEBRIGHT (YCWA),-121.267,39.239,551
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ENG,ENG,,ENGLEBRIGHT (USACE),-121.267,39.239,551
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ENR,ENR,,LAKE ELEANOR,-119.88,37.974,4660
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=EPK,EPK,,EAST PARK RESERVOIR,-122.517,39.367,1205
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=EXC,EXC,,NEW EXCHEQUER-LK MCCLURE,-120.27,37.585,879
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=FLR,FLR,,FLORENCE LAKE (SCE),-118.967,37.267,7325
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=FMD,FMD,,FRENCH MEADOWS,-120.468,39.112,5263
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=FOL,FOL,,FOLSOM LAKE,-121.183,38.683,466
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=FRD,FRD,,FRENCHMAN DAM,-120.183,39.883,5517
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=FRL,FRL,,FRENCH LAKE,-120.544,39.44,6664
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=FRM,FRM,,FARMINGTON (SPILL ELEV 156.5 FT),-120.935,37.915,180
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=GBL,GBL,,GIBRALTAR DAM,-119.686,34.526,1399
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=GBR,GBR,,GERBER,-121.13,42.205,9999
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=GDW,GDW,,GOODWIN DAM,-120.6297,37.8628,359
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=GLK,GLK,,GEM LAKE,-119.14,37.752,9054
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=GLL,GLL,,GERLE LAKE,-120.367,39.033,5860
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=GNT,GNT,,GRANT LAKE,-119.102,37.862,7140
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=HDG,HDG,,LAKE HODGES,-117.128,33.046,315
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=HHL,HHL,,HELL HOLE (PCWA),-120.407,39.058,4630
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=HHY,HHY,,HETCH HETCHY RES AT HETCH HETCHY (USGS),-119.787,37.948,3813
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=HID,HID,,HIDDEN DAM (HENSLEY),-119.917,37.2,561
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=HMT,HMT,,LAKE HEMET,-116.705,33.666,4202
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=HNN,HNN,,LAKE HENNESSEY,-122.372,38.482,331
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=HNS,HNS,,HENSHAW,-116.762,33.24,2740
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=HNT,HNT,,HUNTINGTON LAKE (USBR),-119.221,37.228,7000
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=HTH,HTH,,HETCH HETCHY,-119.783,37.95,3870
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=HVS,HVS,,LAKE HAVASU,-114.156,34.317,451
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=HWE,HWE,,HAIWEE,-117.948,36.137,3774
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ICH,ICH,,ICE HOUSE (SMUD),-120.359,38.824,5454
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=INL,INL,,INDEPENDENCE LAKE,-120.283,39.45,6952
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=INP,INP,,INDEPENDENCE LAKE NEAR TRUCKEE,-120.29,39.452,6921
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=INV,INV,,INDIAN VALLEY,-122.533,39.083,1502
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=IRC,IRC,,IRON CANYON,-121.981,41.045,2675
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=IRG,IRG,,IRON GATE RESERVOIR,-122.436,41.934,2328
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ISB,ISB,,ISABELLA DAM,-118.473,35.646,2635
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=JCK,JCK,,JACKSON MEADOWS (NEVADA CO WD),-120.552,39.509,6037
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=JNC,JNC,,JUNCTION,-120.453,38.853,4468
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=JNK,JNK,,JENKINSON LAKE,-120.56,38.713,3482
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=JNN,JNN,,LAKE JENNINGS,-116.892,32.854,707
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=KES,KES,,KESWICK RESERVOIR,-122.443,40.601,596
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=KLM,KLM,,UPPER KLAMATH,-121.815,42.25,4097
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=KNT,KNT,,KENT,-122.702,37.997,415
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=KRH,KRH,,KERCKHOFF DAM,-119.524,37.128,985
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LBS,LBS,,LOS BANOS DAM,-120.93,36.994,350
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LEW,LEW,,LEWISTON,-122.793,40.727,1870
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LFY,LFY,,LAFAYETTE,-122.138,37.885,465
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LGT,LGT,,LAGUNITAS LAKE,-122.597,37.947,799
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LGV,LGV,,LITTLE GRASS VALLEY,-121.019,39.724,5047
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LNG,LNG,,LEXINGTON RESERVOIR,-121.988,37.202,659
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LON,LON,,LOON LAKE (SMUD),-120.323,38.983,6410
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LOT,LOT,,LOWER OTAY,-116.927,32.609,485
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LPY,LPY,,LAKE PILLSBURY NR POTTER VLY 24HR AVG,-122.9583,39.4083,1828
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LRA,LRA,,LEROY ANDERSON,-121.632,37.165,640
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LSB,LSB,,LOS BANOS,-120.867,37.05,120
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LUS,LUS,,SAN LUIS RESERVOIR (STATE),-121.002,37.001,543
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LVD,LVD,,LOVELAND RESERVOIR,-116.792,32.779,1366
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LVQ,LVQ,,LOS VAQUEROS RESERVOIR,-121.726,37.838,472
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LVY,LVY,,LAKE VALLEY RESERVOIR,-120.583,39.3,5855
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LWB,LWB,,LOWER BEAR,-120.257,38.538,5824
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=LYS,LYS,,LYONS RESERVOIR,-120.166,38.094,4134
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MAR,MAR,,MARIPOSA CREEK DAM,-120.147,37.292,459
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MAT,MAT,,MATILIJA DAM,-119.307,34.486,1138
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MCO,MCO,,LAKE MCCLOUD,-122.074,41.135,2700
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MCR,MCR,,LAKE MCCLURE,-120.267,37.584,867
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MCS,MCS,,LAKE MC SWAIN,-120.309,37.52,425
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MDO,MDO,,MODESTO RESERVOIR,-120.675,37.657,210
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MEA,MEA,,LAKE MEAD,-114.736,36.016,3700
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MFF,MFF,,MERCED FALLS FOREBAY,-120.329,37.523,345
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MHV,MHV,,LAKE MOHAVE,-114.567,35.197,644
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MHW,MHW,,LAKE MATHEWS,-117.46,33.833,1404
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MIL,MIL,,FRIANT DAM (MILLERTON),-119.705,37.001,581
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MMR,MMR,,MIRAMAR,-117.1,32.9,720
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MMW,MMW,,MOUNTAIN MEADOWS,-121.017,40.283,5046
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MNC,MNC,,LAKE MENDOCINO,-123.182,39.199,760
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MOR,MOR,,MORENA DAM,-116.55,32.683,3053
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MPD,MPD,,MWCD PARKS CK DIVERSION NR EDGEWOOD,-122.44765,41.45181,3000
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MPL,MPL,,MAMMOTH POOL,-119.328,37.329,3330
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MRR,MRR,,MURRAY RES,-117.047,32.782,542
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=MRT,MRT,,MARTIS CREEK RESERVOIR,-120.113,39.327,5745
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=NAT,NAT,,LAKE NATOMA (NIMBUS DAM),-121.183,38.65,132
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=NCA,NCA,,NICASIO,-122.757,38.075,180
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=NCM,NCM,,NACIMIENTO,-120.884,35.758,784
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=NHG,NHG,,NEW HOGAN LAKE,-120.812,38.152,554
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=NML,NML,,NEW MELONES RESERVOIR,-120.525,37.9481,1135
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ONF,ONF,,ONEILL FOREBAY,-121.067,37.067,225
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ORO,ORO,,OROVILLE DAM,-121.493,39.54,900
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=OWN,OWN,,OWENS CREEK DAM,-120.187,37.282,424
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=PAR,PAR,,PARDEE,-120.85,38.25,568
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=PLL,PLL,,LAKE PILLSBURY,-122.958,39.408,1807
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=PNF,PNF,,PINE FLAT DAM,-119.325,36.833,970
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=PRA,PRA,,PRADO DAM,-117.643,33.89,566
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=PRR,PRR,,PERRIS,-117.183,33.858,1600
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=PRS,PRS,,PROSSER CREEK RESERVOIR,-120.1367,39.3794,5622
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=PRU,PRU,,LAKE PIRU,-118.751,34.461,213
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=PT6,PT6,,PIT R PH #6,-122.001,40.842,32
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=PT7,PT7,,PIT R PH #7,-122.015,40.843,1036
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=PWL,PWL,,LAKE POWELL,-111.493,36.937,3700
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=PYM,PYM,,PYRAMID,-118.75,34.633,2606
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=QUL,QUL,,QUAIL,-999.999,99.999,9999
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=RBL,RBL,,RUBICON LAKE,-120.217,38.967,6800
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=RDN,RDN,,REDINGER LAKE,-119.449,37.145,1403
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=RLC,RLC,,RAILROAD CANYON,-117.272,33.675,1398
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=RLF,RLF,,RELIEF,-119.733,38.267,7220
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=RLL,RLL,,ROLLINS,-120.948,39.135,2176
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=RTD,RTD,,RUTH DAM,-123.433,40.367,2675
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SAT,SAT,,SAN ANTONIO RESERVOIR,-121.848,37.573,468
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SCC,SCC,,SUCCESS DAM,-118.922,36.061,692
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SCD,SCD,,SCOTT DAM,-122.9586,39.4083,1807
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SDB,SDB,,SADDLEBAG LAKE RESERVOIR,-119.272,37.966,10090
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SFL,SFL,,SCOTTS FLAT,-120.917,39.274,3085
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SGB,SGB,,SAN GABRIEL,-117.858,34.207,1481
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SGC,SGC,,SANTIAGO CREEK RES (IRVINE LAKE),-117.723,33.785,810
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SHA,SHA,,SHASTA DAM (USBR),-122.42,40.718,1067
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SHV,SHV,,SHAVER LAKE,-119.302,37.145,5370
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SIV,SIV,,SILVER LAKE RESERVOIR,-120.121,38.669,7134
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SJT,SJT,,UPPER SAN JOAQUIN TOTAL,-999.999,99.999,9999
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SKN,SKN,,SKINNER,-117.122,33.583,1479
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SLB,SLB,,SLAB CREEK,-120.6994,38.7725,1850
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SLC,SLC,,SLY CREEK,-121.116,39.584,3536
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SLF,SLF,,SAN LUIS RESERVOIR (FEDERAL),-121.002,37.001,543
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SLJ,SLJ,,SOULAJULE DAM,-122.782,38.153,344
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SLK,SLK,,SOUTH LAKE,-118.56266,37.1759,9600
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SLN,SLN,,SANTA MARGARITA LAKE,-120.502,35.333,1325
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SLS,SLS,,SALT SPRINGS,-120.216,38.497,3700
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SLW,SLW,,LAKE SILVERWOOD,-117.318,34.304,3331
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SNL,SNL,,SAN LUIS RESERVOIR,-121.133,37.033,543
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SNN,SNN,,SAN ANDREAS,-122.412,37.578,456
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SOL,SOL,,LAKE SOLANO,-122,38.5,150
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SPB,SPB,,SAN PABLO,-122.333,37.958,330
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SPC,SPC,,SPRING CREEK DEBRIS DAM,-122.474,40.629,816
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SPG,SPG,,SPAULDING LAKE,-120.641,39.329,5013
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=SPM,SPM,,SPICER MEADOWS,-119.998,38.393,6516
